Date,Open,High,Low,Close,Volume,Adjusted Close
2015-11-25,15.55,15.89,15.05,15.19,0.0,15.19
2015-11-27,15.31,16.09,15.12,15.12,0.0,15.12
2015-11-30,15.55,16.57,15.52,16.129999,0.0,16.129999
2015-12-01,15.61,16.34,14.63,14.67,0.0,14.67
2015-12-02,15.04,16.49,14.71,15.91,0.0,15.91
2015-12-03,15.87,19.35,15.86,18.110001,0.0,18.110001
2015-12-04,17.43,17.65,14.69,14.81,0.0,14.81
2015-12-07,15.65,17.18,15.58,15.84,0.0,15.84
2015-12-08,17.690001,18.33,16.52,17.6,0.0,17.6
2015-12-09,18.049999,20.129999,15.72,19.610001,0.0,19.610001
2015-12-10,19.25,19.719999,18.129999,19.34,0.0,19.34
2015-12-11,21.360001,25.27,20.879999,24.389999,0.0,24.389999
2015-12-14,24.700001,26.809999,21.469999,22.73,0.0,22.73
2015-12-15,20.76,21.620001,20.02,20.950001,0.0,20.950001
2015-12-16,19.25,20.24,17.120001,17.860001,0.0,17.860001
2015-12-17,16.18,19.049999,16.129999,18.940001,0.0,18.940001
2015-12-18,19.34,23.299999,18.75,20.700001,0.0,20.700001
2015-12-21,19.639999,20.209999,18.700001,18.700001,0.0,18.700001
2015-12-22,17.610001,18.219999,16.6,16.6,0.0,16.6
2015-12-23,15.86,16.25,15.33,15.57,0.0,15.57
2015-12-24,15.44,15.88,14.45,15.74,0.0,15.74
2015-12-28,17.65,18.129999,16.879999,16.91,0.0,16.91
2015-12-29,15.91,16.48,15.63,16.08,0.0,16.08
2015-12-30,16.5,17.42,16.5,17.290001,0.0,17.290001
2015-12-31,17.969999,20.389999,17.51,18.209999,0.0,18.209999
2016-01-04,22.48,23.360001,20.67,20.700001,0.0,20.700001
2016-01-05,20.75,21.059999,19.25,19.34,0.0,19.34
2016-01-06,21.67,21.860001,19.799999,20.59,0.0,20.59
2016-01-07,23.219999,25.860001,22.4,24.99,0.0,24.99
2016-01-08,22.959999,27.08,22.48,27.01,0.0,27.01
2016-01-11,25.58,27.389999,23.83,24.299999,0.0,24.299999
2016-01-12,22.969999,23.93,21.91,22.469999,0.0,22.469999
2016-01-13,21.719999,26.110001,21.440001,25.219999,0.0,25.219999
2016-01-14,24.75,26.280001,23.07,23.950001,0.0,23.950001
2016-01-15,28.959999,30.950001,26.67,27.02,0.0,27.02
2016-01-19,25.4,27.59,25.209999,26.049999,0.0,26.049999
2016-01-20,27.780001,32.09,26.59,27.59,0.0,27.59
2016-01-21,27.790001,28.43,25.01,26.690001,0.0,26.690001
2016-01-22,24.209999,24.549999,22.219999,22.34,0.0,22.34
2016-01-25,23.299999,24.309999,22.379999,24.15,0.0,24.15
2016-01-26,23.75,24.02,22.33,22.5,0.0,22.5
2016-01-27,22.879999,27.219999,20.42,23.110001,0.0,23.110001
2016-01-28,22.15,23.809999,21.9,22.42,0.0,22.42
2016-01-29,21.59,21.74,19.5,20.200001,0.0,20.200001
2016-02-01,21.32,23.66,19.610001,19.98,0.0,19.98
2016-02-02,21.34,22.42,21.059999,21.98,0.0,21.98
2016-02-03,21.49,27.700001,21.42,21.65,0.0,21.65
2016-02-04,22.290001,23.139999,21.24,21.84,0.0,21.84
2016-02-05,22.09,24.110001,21.91,23.379999,0.0,23.379999
2016-02-08,25.889999,27.719999,25.559999,26.0,0.0,26.0
2016-02-09,28.299999,28.309999,25.99,26.540001,0.0,26.540001
2016-02-10,25.75,26.6,24.469999,26.290001,0.0,26.290001
2016-02-11,29.01,30.9,26.67,28.139999,0.0,28.139999
2016-02-12,27.16,27.57,24.92,25.4,0.0,25.4
2016-02-16,24.959999,25.52,23.32,24.110001,0.0,24.110001
2016-02-17,23.4,24.16,21.83,22.309999,0.0,22.309999
2016-02-18,22.16,22.530001,21.290001,21.639999,0.0,21.639999
2016-02-19,22.389999,23.440001,20.52,20.530001,0.0,20.530001
2016-02-22,20.139999,20.35,19.02,19.379999,0.0,19.379999
